sbj_schedule_code,sbj_code,sbj_description,sbj_unit,sbj_year,sbj_section,sbj_course,sbj_sem,sbj_sy
6459,PSY 322,CURRENT ISSUES IN PSYCHOLOGY,3,3RD,B,BS PSYCH,2ND,2015-2016
6458,PSY 321,CLINICAL PSYCHOLOGY,3,3RD,B,BS PSYCH,2ND,2015-2016
6457,,,,,,,,
6456,OFP 001,FUND OF OFFICE PROCEDURES,3,3RD,A,BS PSYCH,2ND,2015-2016
6455,SCI 003,COMPARATIVE VERTEBRAE ANATOMY,5,3RD,A,BS PSYCH,2ND,2015-2016
6454,PSY 324,INTRO TO SOCIAL WORK,3,3RD,A,BS PSYCH,2ND,2015-2016
6453,PSY 323,CHILD PSYCHOLOGY W/ INTRO TO SPED,3,3RD,A,BS PSYCH,2ND,2015-2016
6452,PSY 322,CURRENT ISSUES IN PSYCHOLOGY,3,3RD,A,BS PSYCH,2ND,2015-2016
6451,PSY 321,CLINICAL PSYCHOLOGY,3,3RD,A,BS PSYCH,2ND,2015-2016
6450,,,,,,,,
6449,OFP 001,FUNDAMENTAL OF OFFICE PROCEDURES,3,2ND,C,BS PSYCH,2ND,2015-2016
6448,PE 004,GROUP SPORTS,2,2ND,C,BS PSYCH,2ND,2015-2016
6447,SSC 004,SOCIOLOGY AND ANTHROPOLOGY,3,2ND,C,BS PSYCH,2ND,2015-2016
6446,SCI 001B,BIOLOGY 1(GENERAL ZOOLOGY),5,2ND,C,BS PSYCH,2ND,2015-2016
6445,MTH 224C,PSYCHOLOGICAL STATISTICS II,5,2ND,C,BS PSYCH,2ND,2015-2016
6444,HUM 002,SOCIAL ARTS,3,2ND,C,BS PSYCH,2ND,2015-2016
6443,CMH 221,"PSYCHOSOCIAL CONSEQUENCES, ASSESSMENT,TREATMENT AND PROGRAM PLANNING",3,2ND,C,BS PSYCH,2ND,2015-2016
6442,PSY 221,SIKOLOHIYANG FILIPINO,3,2ND,C,BS PSYCH,2ND,2015-2016
6441,,,,,,,,
6440,OFP 001,FUNDAMENTAL OF OFFICE PROCEDURES,3,2ND,B,BS PSYCH,2ND,2015-2016
6439,PE 004,GROUP SPORTS,2,2ND,B,BS PSYCH,2ND,2015-2016
6438,SSC 004,SOCIOLOGY AND ANTHROPOLOGY,3,2ND,B,BS PSYCH,2ND,2015-2016
6437,SCI 001B,BIOLOGY 1(GENERAL ZOOLOGY),5,2ND,B,BS PSYCH,2ND,2015-2016
6436,MTH 224C,PSYCHOLOGICAL STATISTICS II,5,2ND,B,BS PSYCH,2ND,2015-2016
6435,HUM 002,SOCIAL ARTS,3,2ND,B,BS PSYCH,2ND,2015-2016
6434,CMH 221,"PSYCHOSOCIAL CONSEQUENCES, ASSESSMENT,TREATMENT AND PROGRAM PLANNING",3,2ND,B,BS PSYCH,2ND,2015-2016
6433,PSY 221,SIKOLOHIYANG FILIPINO,3,2ND,B,BS PSYCH,2ND,2015-2016
6432,,,,,,,,
6431,OFP 001,FUNDAMENTAL OF OFFICE PROCEDURES,3,2ND,A,BS PSYCH,2ND,2015-2016
6430,PE 004,GROUP SPORTS,2,2ND,A,BS PSYCH,2ND,2015-2016
6429,SSC 004,SOCIOLOGY AND ANTHROPOLOGY,3,2ND,A,BS PSYCH,2ND,2015-2016
6428,SCI 001B,BIOLOGY 1(GENERAL ZOOLOGY),5,2ND,A,BS PSYCH,2ND,2015-2016
6427,MTH 224C,PSYCHOLOGICAL STATISTICS II,5,2ND,A,BS PSYCH,2ND,2015-2016
6426,HUM 002,SOCIAL ARTS,3,2ND,A,BS PSYCH,2ND,2015-2016
6425,CMH 221,"PSYCHOSOCIAL CONSEQUENCES, ASSESSMENT,TREATMENT AND PROGRAM PLANNING",3,2ND,A,BS PSYCH,2ND,2015-2016
6424,PSY 221,SIKOLOHIYANG FILIPINO,3,2ND,A,BS PSYCH,2ND,2015-2016
6423,,,,,,,,
6422,PE 122,RHYTHMIC ACTIVITIES,2,1ST,B,BS PSYCH,2ND,2015-2016
6421,NSTP 2,CWTS 2,3,1ST,B,BS PSYCH,2ND,2015-2016
6420,SCI 001A,GENERAL INORGANIC CHEMISTRY,3,1ST,B,BS PSYCH,2ND,2015-2016
6419,FIL 002,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,B,BS PSYCH,2ND,2015-2016
6418,ENG 002,WRITING IN THE DISICIPLINE,3,1ST,B,BS PSYCH,2ND,2015-2016
6417,MTH 224A,GENERAL STATISTICS,3,1ST,B,BS PSYCH,2ND,2015-2016
6416,HCS 121,HEALTH CARE SERVICES AND PREPARATION,6,1ST,B,BS PSYCH,2ND,2015-2016
6415,PSY 122,MENTAL HYGIENE,3,1ST,B,BS PSYCH,2ND,2015-2016
6414,PSY 121,DEVELOPMENTAL PSYCHOLOGY,3,1ST,B,BS PSYCH,2ND,2015-2016
6413,,,,,,,,
6412,PE 122,RHYTHMIC ACTIVITIES,2,1ST,A,BS PSYCH,2ND,2015-2016
6411,NSTP 2,CWTS 2,3,1ST,A,BS PSYCH,2ND,2015-2016
6410,SCI 001A,GENERAL INORGANIC CHEMISTRY,3,1ST,A,BS PSYCH,2ND,2015-2016
6409,FIL 002,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,A,BS PSYCH,2ND,2015-2016
6408,ENG 002,WRITING IN THE DISICIPLINE,3,1ST,A,BS PSYCH,2ND,2015-2016
6407,MTH 224A,GENERAL STATISTICS,3,1ST,A,BS PSYCH,2ND,2015-2016
6406,HCS 121,HEALTH CARE SERVICES AND PREPARATION,6,1ST,A,BS PSYCH,2ND,2015-2016
6405,PSY 122,MENTAL HYGIENE,3,1ST,A,BS PSYCH,2ND,2015-2016
6404,PSY 121,DEVELOPMENTAL PSYCHOLOGY,3,1ST,A,BS PSYCH,2ND,2015-2016
6403,,,,,,,,
6402,PE 122,RHYTHMIC ACTIVITIES,2,1ST,A,ABBS,2ND,2015-2016
6401,NSTP 2,CWTS 2,3,1ST,A,ABBS,2ND,2015-2016
6399,BSC 121,HISTORY OF SOCIOLOGICAL AND ANTHROPOLOGICAL  THOUGHTS,3,1ST,A,ABBS,2ND,2015-2016
6398,FIL 002,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,A,ABBS,2ND,2015-2016
6397,ENG 002,WRITING IN THE DISICIPLINE,3,1ST,A,ABBS,2ND,2015-2016
6396,MTH 224A,GENERAL STATISTICS,3,1ST,A,ABBS,2ND,2015-2016
6395,HCS 121,HEALTH CARE SERVICES AND PREPARATION,6,1ST,A,ABBS,2ND,2015-2016
6394,PSY 122,MENTAL HYGIENE,3,1ST,A,ABBS,2ND,2015-2016
6393,PSY 121,DEVELOPMENTAL PSYCHOLOGY,3,1ST,A,ABBS,2ND,2015-2016
6392,,,,,,,,
6391,PE 007,SWIMMING LESSON,2,2ND,A,BS HRM,2ND,2015-2016
6390,TSM 3,FOREIGN LANGUAGE,3,2ND,A,BS HRM,2ND,2015-2016
6389,MAS 005B,ENVIRONMENTAL SCIENCE,3,2ND,A,BS HRM,2ND,2015-2016
6388,MKT 111,PRINCIPLES OF MARKETING APPLIED TO HOSPITALITY,3,2ND,A,BS HRM,2ND,2015-2016
6387,TSM5,TOTAL QUALITY MANAGEMENT,3,2ND,A,BS HRM,2ND,2015-2016
6386,TSM 006,TOURISM PLANNING AND DEVELOPMENT,3,2ND,A,BS HRM,2ND,2015-2016
6385,THM 004,BARTENDING PROCEDURE,3,2ND,A,BS HRM,2ND,2015-2016
6384,ACC 001,ACCOUNTING FOR HOSPITALITY INDUSTRY,3,2ND,A,BS HRM,2ND,2015-2016
6383,THM 003,FOOD BEVERAGE SERVICE PROCEDURE,4,2ND,A,BS HRM,2ND,2015-2016
6382,,,,,,,,
6381,PE 002,RHYTHMIC ACTIVITIES,2,1ST,B,BS HRM,2ND,2015-2016
6380,NSTP 122,CWTS,3,1ST,B,BS HRM,2ND,2015-2016
6379,HUM 002,SOCIAL ARTS,3,1ST,B,BS HRM,2ND,2015-2016
6378,TSM1B,PRINCIPLES PF TOURISM 2,3,1ST,B,BS HRM,2ND,2015-2016
6377,HRM 001,HOUSEKEEPING,3,1ST,B,BS HRM,2ND,2015-2016
6376,MTH 224,STATISTICS(APPLIED BUSINESS),3,1ST,B,BS HRM,2ND,2015-2016
6375,MIS 009,COMPUTER APPLICATION FOR HOSPITALITY INDUSTRY,3,1ST,B,BS HRM,2ND,2015-2016
6374,FIL 002,PAGBASA AT PAGSULAT TUNGO SA IBA'T-IBANG DISIPLINA,3,1ST,B,BS HRM,2ND,2015-2016
6373,ENG 003,INTERACTIVE ENGLISH,3,1ST,B,BS HRM,2ND,2015-2016
6372,,,,,,,,
6371,PE 002,RHYTHMIC ACTIVITIES,2,1ST,A,BS HRM,2ND,2015-2016
6370,NSTP 122,CWTS,3,1ST,A,BS HRM,2ND,2015-2016
6369,HUM 002,SOCIAL ARTS,3,1ST,A,BS HRM,2ND,2015-2016
6368,TSM1B,PRINCIPLES PF TOURISM 2,3,1ST,A,BS HRM,2ND,2015-2016
6367,HRM 001,HOUSEKEEPING,3,1ST,A,BS HRM,2ND,2015-2016
6366,MTH 224,STATISTICS(APPLIED BUSINESS),3,1ST,A,BS HRM,2ND,2015-2016
6365,MIS 009,COMPUTER APPLICATION FOR HOSPITALITY INDUSTRY,3,1ST,A,BS HRM,2ND,2015-2016
6364,FIL 002,PAGBASA AT PAGSULAT TUNGO SA IBA'T-IBANG DISIPLINA,3,1ST,A,BS HRM,2ND,2015-2016
6363,ENG 003,INTERACTIVE ENGLISH,3,1ST,A,BS HRM,2ND,2015-2016
6362,,,,,,,,
6361,PRAC 2,HOTEL/AIRLINE/TOURISM ESTABLISHMENT,6,4TH,A,BS TOURISM,2ND,2015-2016
6360,MAJ 7B,RESEARCH 2,3,4TH,A,BS TOURISM,2ND,2015-2016
6359,,,,,,,,
6358,ENTRE,TRAVEL INDUSTRY ENTREPRENEURSHIP,3,3RD,A,BS TOURISM,2ND,2015-2016
6357,MAN 002,"RIZAL'S LIFE,WORK AND WRITINGS",3,3RD,A,BS TOURISM,2ND,2015-2016
6356,SS 224,SOCIOLOGY AND ANTHROPOLOGY,3,3RD,A,BS TOURISM,2ND,2015-2016
6355,MAJ 12,TOURISM PROMOTIONS AND MARKETING,3,3RD,A,BS TOURISM,2ND,2015-2016
6354,FIN 1,BASIC FINANCE FOR HOSPITALITY INDUSTRY,3,3RD,A,BS TOURISM,2ND,2015-2016
6353,MKTG,MARKETING MANAGEMENT FOR HOSPITALITY INDUSTRY,3,3RD,A,BS TOURISM,2ND,2015-2016
6352,THM 003,FOOD AND BEVERAGE SERVICE PROCEDURE,4,3RD,A,BS TOURISM,2ND,2015-2016
6351,,,,,,,,
6350,PE 007,SWIMMING LESSON,2,2ND,A,BS TOURISM,2ND,2015-2016
6349,MAS 005B,ENVIRONMENTAL SCIENCE,3,2ND,A,BS TOURISM,2ND,2015-2016
6348,MKT 111,PRINCIPLES OF MARKETING APPLIED TO HOSPITALITY,3,2ND,A,BS TOURISM,2ND,2015-2016
6347,TSM5,TOTAL QUALITY MANAGEMENT,3,2ND,A,BS TOURISM,2ND,2015-2016
6346,TSM 006,TOURISM PLANNING AND DEVELOPMENT,3,2ND,A,BS TOURISM,2ND,2015-2016
6345,ACC 001,ACCOUNTING FOR HOSPITALITY INDUSTRY,3,2ND,A,BS TOURISM,2ND,2015-2016
6344,THM 003,FOOD AND BEVERAGE SERVICE PROCEDURE,4,2ND,A,BS TOURISM,2ND,2015-2016
6343,,,,,,,,
6342,PE 002,RHYTHMIC ACTIVITIES,2,1ST,B,BS TOURISM,2ND,2015-2016
6341,NSTP 122,CWTS,3,1ST,B,BS TOURISM,2ND,2015-2016
6340,HUM 002,SOCIAL ARTS,3,1ST,B,BS TOURISM,2ND,2015-2016
6339,TSM1B,PRINCIPLES OF TOURISM 2,3,1ST,B,BS TOURISM,2ND,2015-2016
6338,MGT 212,HUMAN BEHAVIOR IN ORGANIZATION,3,1ST,B,BS TOURISM,2ND,2015-2016
6337,MTH 224,STATISTICS(APPLIED BUSINESS),3,1ST,B,BS TOURISM,2ND,2015-2016
6336,MIS 009,COMPUTER APPLICATION FOR HOSPITALITY INDUSTRY,3,1ST,B,BS TOURISM,2ND,2015-2016
6335,FIL 002,PAGBASA AT PAGSULAT TUNGO SA IBAT-IBANG DISIPLINA,3,1ST,B,BS TOURISM,2ND,2015-2016
6334,ENG 003,INTERACTIVE ENGLISH,3,1ST,B,BS TOURISM,2ND,2015-2016
6333,,,,,,,,
6332,PE 002,RHYTHMIC ACTIVITIES,2,1ST,A,BS TOURISM,2ND,2015-2016
6331,NSTP 122,CWTS,3,1ST,A,BS TOURISM,2ND,2015-2016
6330,HUM 002,SOCIAL ARTS,3,1ST,A,BS TOURISM,2ND,2015-2016
6329,TSM1B,PRINCIPLES OF TOURISM 2,3,1ST,A,BS TOURISM,2ND,2015-2016
6328,MGT 212,HUMAN BEHAVIOR IN ORGANIZATION,3,1ST,A,BS TOURISM,2ND,2015-2016
6327,MTH 224,STATISTICS(APPLIED BUSINESS),3,1ST,A,BS TOURISM,2ND,2015-2016
6326,MIS 009,COMPUTER APPLICATION FOR HOSPITALITY INDUSTRY,3,1ST,A,BS TOURISM,2ND,2015-2016
6325,FIL 002,PAGBASA AT PAGSULAT TUNGO SA IBAT-IBANG DISIPLINA,3,1ST,A,BS TOURISM,2ND,2015-2016
6324,ENG 003,INTERACTIVE ENGLISH,3,1ST,A,BS TOURISM,2ND,2015-2016
6323,,,,,,,,
6322,PE 007,SWIMMING LESSON,2,2ND,A,AHRS,2ND,2015-2016
6321,PRAC 2,PRACTICUM-RESTAURANT,3,2ND,A,AHRS,2ND,2015-2016
6320,MAS 005B,ENVIRONMENTAL SCIENCE,3,2ND,A,AHRS,2ND,2015-2016
6319,MKT 111,PRINCIPLES OF MARKETING APPLIED TO HOSPITALITY,3,2ND,A,AHRS,2ND,2015-2016
6318,TSM 5,TOTAL QUALITY MANAGEMENT,3,2ND,A,AHRS,2ND,2015-2016
6317,TSM 006,TOURISM PLANNING AND DEVELOPMENT,3,2ND,A,AHRS,2ND,2015-2016
6316,THM 004,BARTENDING PROCEDURE,3,2ND,A,AHRS,2ND,2015-2016
6315,TSM 3,FOREIGN LANGUAGE,3,2ND,A,AHRS,2ND,2015-2016
6314,THM 003,FOOD AND BEVERAGE SERVICE PROCEDURE,4,2ND,A,AHRS,2ND,2015-2016
6313,,,,,,,,
6312,BPA 020,INTERNSHIP IN GOVERNMENT ORGANIZATION,3,4TH,C,BPA,2ND,2015-2016
6311,BPA 019,COMPARATIVE PUBLIC ADMINISTRATION,3,4TH,C,BPA,2ND,2015-2016
6310,RES 421,RESEARCH IN PUBLIC ADMINISTRATION,3,4TH,C,BPA,2ND,2015-2016
6309,BPA 018,DECISION MAKING TECHNIQUES,3,4TH,C,BPA,2ND,2015-2016
6308,BPA 017,FUNDAMENTALS OF PUBLIC RELATIONS,3,4TH,C,BPA,2ND,2015-2016
6307,BPA 016,POLICY FORMULATION AND ADMINISTRATION,3,4TH,C,BPA,2ND,2015-2016
6306,,,,,,,,
6305,BPA 020,INTERNSHIP IN GOVERNMENT ORGANIZATION,3,4TH,B,BPA,2ND,2015-2016
6304,BPA 019,COMPARATIVE PUBLIC ADMINISTRATION,3,4TH,B,BPA,2ND,2015-2016
6303,RES 421,RESEARCH IN PUBLIC ADMINISTRATION,3,4TH,B,BPA,2ND,2015-2016
6302,BPA 018,DECISION MAKING TECHNIQUES,3,4TH,B,BPA,2ND,2015-2016
6301,BPA 017,FUNDAMENTALS OF PUBLIC RELATIONS,3,4TH,B,BPA,2ND,2015-2016
6300,BPA 016,POLICY FORMULATION AND ADMINISTRATION,3,4TH,B,BPA,2ND,2015-2016
6299,,,,,,,,
6298,BPA 020,INTERNSHIP IN GOVERNMENT ORGANIZATION,3,4TH,A,BPA,2ND,2015-2016
6297,BPA 019,COMPARATIVE PUBLIC ADMINISTRATION,3,4TH,A,BPA,2ND,2015-2016
6296,RES 421,RESEARCH IN PUBLIC ADMINISTRATION,3,4TH,A,BPA,2ND,2015-2016
6295,BPA 018,DECISION MAKING TECHNIQUES,3,4TH,A,BPA,2ND,2015-2016
6294,BPA 017,FUNDAMENTALS OF PUBLIC RELATIONS,3,4TH,A,BPA,2ND,2015-2016
6293,BPA 016,POLICY FORMULATION AND ADMINISTRATION,3,4TH,A,BPA,2ND,2015-2016
6292,,,,,,,,
6291,SSC 005,ADMINISTRATION OF ECONOMIC SYSTEM,3,3RD,C,BPA,2ND,2015-2016
6290,BPA 010,ADMINISTRATION LAW,3,3RD,C,BPA,2ND,2015-2016
6289,MGT 212,HUMAN BEHAVIOR IN ORGANIZATION,3,3RD,C,BPA,2ND,2015-2016
6288,BPA 009,SEMINAR 2(WORKSHOP IN GOVERNMENT MANAGEMENT),3,3RD,C,BPA,2ND,2015-2016
6287,BPA 008,PUBLIC FISCAL ADMINISTRATION,3,3RD,C,BPA,2ND,2015-2016
6286,BPA 007,EFFECTIVE COMMUNICATION IN ORGANIZATION,3,3RD,C,BPA,2ND,2015-2016
6285,BPA 006,GOVERNMENT MANAGEMENT,3,3RD,C,BPA,2ND,2015-2016
6284,,,,,,,,
6283,SSC 005,ADMINISTRATION OF ECONOMIC SYSTEM,3,3RD,B,BPA,2ND,2015-2016
6282,BPA 010,ADMINISTRATION LAW,3,3RD,B,BPA,2ND,2015-2016
6281,MGT 212,HUMAN BEHAVIOR IN ORGANIZATION,3,3RD,B,BPA,2ND,2015-2016
6280,BPA 009,SEMINAR 2(WORKSHOP IN GOVERNMENT MANAGEMENT),3,3RD,B,BPA,2ND,2015-2016
6279,BPA 008,PUBLIC FISCAL ADMINISTRATION,3,3RD,B,BPA,2ND,2015-2016
6278,BPA 007,EFFECTIVE COMMUNICATION IN ORGANIZATION,3,3RD,B,BPA,2ND,2015-2016
6277,BPA 006,GOVERNMENT MANAGEMENT,3,3RD,B,BPA,2ND,2015-2016
6276,,,,,,,,
6275,SSC 005,ADMINISTRATION OF ECONOMIC SYSTEM,3,3RD,A,BPA,2ND,2015-2016
6274,BPA 010,ADMINISTRATION LAW,3,3RD,A,BPA,2ND,2015-2016
6273,MGT 212,HUMAN BEHAVIOR IN ORGANIZATION,3,3RD,A,BPA,2ND,2015-2016
6272,BPA 009,SEMINAR 2(WORKSHOP IN GOVERNMENT MANAGEMENT),3,3RD,A,BPA,2ND,2015-2016
6271,BPA 008,PUBLIC FISCAL ADMINISTRATION,3,3RD,A,BPA,2ND,2015-2016
6270,BPA 007,EFFECTIVE COMMUNICATION IN ORGANIZATION,3,3RD,A,BPA,2ND,2015-2016
6269,BPA 006,GOVERNMENT MANAGEMENT,3,3RD,A,BPA,2ND,2015-2016
6268,,,,,,,,
6267,PE 004,TEAM SPORTS,2,2ND,C,BPA,2ND,2015-2016
6266,COM 001,INTRODUCTION TO COMPUTER W/ WINDOWS AND INTERNET,3,2ND,C,BPA,2ND,2015-2016
6265,PHI 002,ETHICS,3,2ND,C,BPA,2ND,2015-2016
6264,ACC 111A,BASIC ACCOUNTING,3,2ND,C,BPA,2ND,2015-2016
6263,ECO 222,MACROECONOMICS,3,2ND,C,BPA,2ND,2015-2016
6262,MTH 224,STATISTICS,3,2ND,C,BPA,2ND,2015-2016
6261,PAC 003,OFFICE AND SYSTEM MANAGEMENT STATISTICS,3,2ND,C,BPA,2ND,2015-2016
6260,,,,,,,,
6259,PE 004,TEAM SPORTS,2,2ND,B,BPA,2ND,2015-2016
6258,COM 001,INTRODUCTION TO COMPUTER W/ WINDOWS AND INTERNET,3,2ND,B,BPA,2ND,2015-2016
6257,PHI 002,ETHICS,3,2ND,B,BPA,2ND,2015-2016
6256,ACC 111A,BASIC ACCOUNTING,3,2ND,B,BPA,2ND,2015-2016
6255,ECO 222,MACROECONOMICS,3,2ND,B,BPA,2ND,2015-2016
6254,MTH 224,STATISTICS,3,2ND,B,BPA,2ND,2015-2016
6253,PAC 003,OFFICE AND SYSTEM MANAGEMENT STATISTICS,3,2ND,B,BPA,2ND,2015-2016
6252,,,,,,,,
6251,PE 004,TEAM SPORTS,2,2ND,A,BPA,2ND,2015-2016
6250,COM 001,INTRODUCTION TO COMPUTER W/ WINDOWS AND INTERNET,3,2ND,A,BPA,2ND,2015-2016
6249,PHI 002,ETHICS,3,2ND,A,BPA,2ND,2015-2016
6248,ACC 111A,BASIC ACCOUNTING,3,2ND,A,BPA,2ND,2015-2016
6247,ECO 222,MACROECONOMICS,3,2ND,A,BPA,2ND,2015-2016
6246,MTH 224,STATISTICS,3,2ND,A,BPA,2ND,2015-2016
6245,PAC 003,OFFICE AND SYSTEM MANAGEMENT STATISTICS,3,2ND,A,BPA,2ND,2015-2016
6244,,,,,,,,
6243,COM 001,INTRODUCTION TO COMPUTER W/ WINDOWS AND INTERNET,3,1ST,C,BPA,2ND,2015-2016
6242,NSTP 122,NSTP-CWTS 2,3,1ST,C,BPA,2ND,2015-2016
6241,PE 002,RHYTHMIC ACTIVITIES,2,1ST,C,BPA,2ND,2015-2016
6240,PAC 111,INTRODUCTION TO PUBLIC ADMINISTRATION,3,1ST,C,BPA,2ND,2015-2016
6239,SSC 002,PHILIPPINE GOVERNMENT AND NEW CONSTITUTION,3,1ST,C,BPA,2ND,2015-2016
6238,NSC 002,BIOLOGICAL SCIENCE,3,1ST,C,BPA,2ND,2015-2016
6237,MTH 112,BUSINESS MATHEMATICS,3,1ST,C,BPA,2ND,2015-2016
6236,FIL 002,PAGBASA AT PAGSULAT TUNGO SA IBAT-IBANG DISIPLINA,3,1ST,C,BPA,2ND,2015-2016
6235,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,C,BPA,2ND,2015-2016
6234,,,,,,,,
6233,COM 001,INTRODUCTION TO COMPUTER W/ WINDOWS AND INTERNET,3,1ST,B,BPA,2ND,2015-2016
6232,NSTP 122,NSTP-CWTS 2,3,1ST,B,BPA,2ND,2015-2016
6231,PE 002,RHYTHMIC ACTIVITIES,2,1ST,B,BPA,2ND,2015-2016
6230,PAC 111,INTRODUCTION TO PUBLIC ADMINISTRATION,3,1ST,B,BPA,2ND,2015-2016
6229,SSC 002,PHILIPPINE GOVERNMENT AND NEW CONSTITUTION,3,1ST,B,BPA,2ND,2015-2016
6228,NSC 002,BIOLOGICAL SCIENCE,3,1ST,B,BPA,2ND,2015-2016
6227,MTH 112,BUSINESS MATHEMATICS,3,1ST,B,BPA,2ND,2015-2016
6226,FIL 002,PAGBASA AT PAGSULAT TUNGO SA IBAT-IBANG DISIPLINA,3,1ST,B,BPA,2ND,2015-2016
6225,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,B,BPA,2ND,2015-2016
6224,,,,,,,,
6223,COM 001,INTRODUCTION TO COMPUTER W/ WINDOWS AND INTERNET,3,1ST,A,BPA,2ND,2015-2016
6222,NSTP 122,NSTP-CWTS 2,3,1ST,A,BPA,2ND,2015-2016
6221,PE 002,RHYTHMIC ACTIVITIES,2,1ST,A,BPA,2ND,2015-2016
6220,PAC 111,INTRODUCTION TO PUBLIC ADMINISTRATION,3,1ST,A,BPA,2ND,2015-2016
6219,SSC 002,PHILIPPINE GOVERNMENT AND NEW CONSTITUTION,3,1ST,A,BPA,2ND,2015-2016
6218,NSC 002,BIOLOGICAL SCIENCE,3,1ST,A,BPA,2ND,2015-2016
6217,MTH 112,BUSINESS MATHEMATICS,3,1ST,A,BPA,2ND,2015-2016
6216,FIL 002,PAGBASA AT PAGSULAT TUNGO SA IBAT-IBANG DISIPLINA,3,1ST,A,BPA,2ND,2015-2016
6215,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,A,BPA,2ND,2015-2016
6214,,,,,,,,
6213,EN 423,RESEARCH 2,3,4TH,A,AB ENGLISH,2ND,2015-2016
6212,EN 422,PRACTICUM 2,6,4TH,A,AB ENGLISH,2ND,2015-2016
6211,EN 421,EUROPEAN LITERATURE,3,4TH,A,AB ENGLISH,2ND,2015-2016
6210,,,,,,,,
6209,OFP 001,FUNDAMENTALS OF OFFICE PROCEDURE,3,3RD,A,AB ENGLISH,2ND,2015-2016
6208,EN 327,NEWS WRITING & EDITING,3,3RD,A,AB ENGLISH,2ND,2015-2016
6207,EN 326,PUBLIC REALATIONS W/ COMMUNITY IMMERSION,5,3RD,A,AB ENGLISH,2ND,2015-2016
6206,EN 324,FILM AND LITERATURE,3,3RD,A,AB ENGLISH,2ND,2015-2016
6205,EN 323,FEATURE WRITING,3,3RD,A,AB ENGLISH,2ND,2015-2016
6204,EN 322,MYTHOLOGY AND FOLKLORE,3,3RD,A,AB ENGLISH,2ND,2015-2016
6203,EN 321,ANGLO-AMERICAN LITERATURE,3,3RD,A,AB ENGLISH,2ND,2015-2016
6202,,,,,,,,
6201,PE 004,TEAM SPORTS,2,2ND,A,BSE ENGLISH,2ND,2015-2016
6200,ENGL 206,AFRO-ASIAN LITERATURE,3,2ND,A,BSE ENGLISH,2ND,2015-2016
6199,ENGL 205,ENGLISH AND AMERICAN LITERATURE,3,2ND,A,BSE ENGLISH,2ND,2015-2016
6198,ENGL 204,CAMPUS JOURNALISM,3,2ND,A,BSE ENGLISH,2ND,2015-2016
6197,MSC 132,EDUCATIONAL TECHNOLOGY 2,3,2ND,A,BSE ENGLISH,2ND,2015-2016
6196,ENGL 207,SPEECH AND STAGE ARTS,3,2ND,A,BSE ENGLISH,2ND,2015-2016
6195,SSC 005,SOCIETY AND CULTURE W/ FAMILY PLANNING,3,2ND,A,BSE ENGLISH,2ND,2015-2016
6194,ECO 111,BASIC ECONOMICS W/ LRT,3,2ND,A,BSE ENGLISH,2ND,2015-2016
6193,MTH 224B,STATISTICS AND PROBABILITY,3,2ND,A,BSE ENGLISH,2ND,2015-2016
6192,,,,,,,,
6191,,,,,,,,
6190,PE 002,RHYTHMIC ACTIVITIES,2,1ST,B,BSE ENGLISH,2ND,2015-2016
6189,MAN 002,LIFE AND WORK OF RIZAL,3,1ST,B,BSE ENGLISH,2ND,2015-2016
6188,SSC 002,PHILIPPINE GOVERNMENT AND NEW CONSTITUTION,3,1ST,B,BSE ENGLISH,2ND,2015-2016
6187,COM 111,INTRODUCTION TO COMPUTER W/ WINDOWS & INTERNET,3,1ST,B,BSE ENGLISH,2ND,2015-2016
6186,NSC 002,BIOLOGICAL SCIENCE,3,1ST,B,BSE ENGLISH,2ND,2015-2016
6185,MTE 002,CONTEMPORARY MATHEMATICS,3,1ST,B,BSE ENGLISH,2ND,2015-2016
6184,LITT 003,WORLD LITERATURE,3,1ST,B,BSE ENGLISH,2ND,2015-2016
6183,FIL 122,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,B,BSE ENGLISH,2ND,2015-2016
6182,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,B,BSE ENGLISH,2ND,2015-2016
6181,,,,,,,,
6180,,,,,,,,
6179,PE 002,RHYTHMIC ACTIVITIES,2,1ST,A,BSE ENGLISH,2ND,2015-2016
6178,MAN 002,LIFE AND WORK OF RIZAL,3,1ST,A,BSE ENGLISH,2ND,2015-2016
6177,SSC 002,PHILIPPINE GOVERNMENT AND NEW CONSTITUTION,3,1ST,A,BSE ENGLISH,2ND,2015-2016
6176,COM 111,INTRODUCTION TO COMPUTER W/ WINDOWS & INTERNET,3,1ST,A,BSE ENGLISH,2ND,2015-2016
6175,NSC 002,BIOLOGICAL SCIENCE,3,1ST,A,BSE ENGLISH,2ND,2015-2016
6174,MTE 002,CONTEMPORARY MATHEMATICS,3,1ST,A,BSE ENGLISH,2ND,2015-2016
6173,LITT 003,WORLD LITERATURE,3,1ST,A,BSE ENGLISH,2ND,2015-2016
