sbj_schedule_code,sbj_code,sbj_description,sbj_unit,sbj_year,sbj_section,sbj_course,sbj_sem,sbj_sy
6952,MSC 302,STATISTICAL CRIMINIAL JUSTICE AND CRIMINOLOGY,3,4TH,A,MSC,2ND,2015-2016
6951,MSC 301,METHODS OF CRIMINOLOGICAL RESEARCH,3,4TH,A,MSC,2ND,2015-2016
6950,,,,,,,,
6949,TW 320,THESIS WRITING,6,4TH,A,MPA,2ND,2015-2016
6948,STW 320,SEMINAR IN THESIS WRITING,3,4TH,A,MPA,2ND,2015-2016
6947,MPA 314,SOCIOLOGY OF PUBLIC ADMINISTRATION,3,4TH,A,MPA,2ND,2015-2016
6946,MPA 313,POLITICAL THEORIES AND PROCESSES,3,4TH,A,MPA,2ND,2015-2016
6945,MPA 312,STRATEGIC PLANNING AND MANAGEMENT,3,4TH,A,MPA,2ND,2015-2016
6944,MPA 311,SEMINAR IN TRENDS AND ISSUES IN PUBLIC ADMINISTRATION,3,4TH,A,MPA,2ND,2015-2016
6943,MPA 310,ORGANIZATIONAL DEVELOPMENT AND LEADERSHIP,3,4TH,A,MPA,2ND,2015-2016
6942,MPA 309,PRGANIZATIONAL BEHAVIOR AND DECISION MAKING,3,4TH,A,MPA,2ND,2015-2016
6941,MPA 308,HUMAN RELATIONS IN PUBLIC ADMINISTRATION,3,4TH,A,MPA,2ND,2015-2016
6940,MPA 307,PUBLIC PERSONNEL ADMINISTRATION,3,4TH,A,MPA,2ND,2015-2016
6939,MPA 306,LOCAL GOVERNMENT AND REGIONAL ADMINISTRATION,3,4TH,A,MPA,2ND,2015-2016
6938,MPA 305,PUBLIC FISCAL ADMINISTRATION ,3,4TH,A,MPA,2ND,2015-2016
6937,MPA 304,PUBLIC POLICY AND PROGRAM ADMINISTRATION,3,4TH,A,MPA,2ND,2015-2016
6936,MPA 303,THEORY AND PRACTICE OF PUBLIC ADMINISTRATION,3,4TH,A,MPA,2ND,2015-2016
6935,MPA 302,STATISTICS AND QUANTITATIVE TECHNIQUES IN PUBLIC ADMINISTRATION,3,4TH,A,MPA,2ND,2015-2016
6934,MPA 301,RESEARCH METHODS AND TECHNIQUES IN PUBLIC ADMINISTRATION,3,4TH,A,MPA,2ND,2015-2016
6933,,,,,,,,
6932,TW 330,THESIS WRITING,6,4TH,A,MBA,2ND,2015-2016
6931,STW 320,SEMINAR IN THESIS WRITING,3,4TH,A,MBA,2ND,2015-2016
6930,MBA 315,STRATEGIC PLANNING MANAGEMENT,3,4TH,A,MBA,2ND,2015-2016
6929,MBA 314,FINANCIAL CONTROLLERSHIP,3,4TH,A,MBA,2ND,2015-2016
6928,MBA 313,BUSINESS ETHICS AND SOCIAL RESPONSIBILITY,3,4TH,A,MBA,2ND,2015-2016
6927,MBA 312,ORGANIZATION DEVELOPMENT,3,4TH,A,MBA,2ND,2015-2016
6926,MBA 311,GLOBAL MARKET ANALYSIS AND INTERNATIONAL TRADE,3,4TH,A,MBA,2ND,2015-2016
6925,MBA 310,INVESTMENT ANALYSIS AND PORTFOLIO MANAGEMENT,3,4TH,A,MBA,2ND,2015-2016
6924,MBA 309,MANAGERIAL ACCOUNTING AND CONTROL,3,4TH,A,MBA,2ND,2015-2016
6923,MBA 308,FINANCIAL MANAGEMENT,3,4TH,A,MBA,2ND,2015-2016
6922,MBA 307,PRODUCTION AND OPERATIONS MANAGEMENT,3,4TH,A,MBA,2ND,2015-2016
6921,MBA 306,ENTREPRENEURIAL MANAGEMENT,3,4TH,A,MBA,2ND,2015-2016
6920,MBA 305,HUMAN RESOURCE MANAGEMENT,3,4TH,A,MBA,2ND,2015-2016
6919,MBA 304,MARKETING MANAGEMENT,3,4TH,A,MBA,2ND,2015-2016
